----------------------------------------------------------
Flugprofil BA NOIZH Bisang und Gschwend
----------------------------------------------------------
BEGIN_PROFILE
ProfileID:	Flight1_D2W_A321
Procedure:	S
Offset:	A
Offsetweight:	---
AircraftType:	A321
Route:	D2W
Runway:	28
disxy	z	v	rho	c	n1	flaps	gears	sb	phase
22775.0242276461	2241.171224	135.969386408138	0.940942956627179	329.904531889715	85	-99	-99	-99	-99
23364.020491668	2332.611224	149.01297607754	0.93218767618891	329.54232612545	85	-99	-99	-99	-99
23932.4226959354	2401.191224	143.131120440315	0.92566222008498	329.270410329067	85	-99	-99	-99	-99
24465.7954498959	2462.151224	134.211264492637	0.919891202602942	329.028518747953	85	-99	-99	-99	-99
25033.4571178675	2553.591224	143.744791837014	0.911286330167278	328.665347574508	85	-99	-99	-99	-99
25598.1548943226	2606.931224	141.802841635267	0.906295339324826	328.453312281323	85	-99	-99	-99	-99
26157.7550496652	2698.371224	141.755424821104	0.897788033561341	328.089504396852	85	-99	-99	-99	-99
26693.2984187885	2766.951224	134.979145753154	0.891447749617198	327.816383522045	85	-99	-99	-99	-99
27253.1346867138	2827.911224	140.786355980557	0.885840748882942	327.573418238831	85	-99	-99	-99	-99
27821.5258659999	2888.871224	142.912703750011	0.880260766548884	327.330272611429	85	-99	-99	-99	-99
28385.4854455703	2926.971224	141.311273742847	0.876786957727939	327.178214834625	85	-99	-99	-99	-99
28950.9611760491	2987.931224	142.188018869495	0.871250687713814	326.934775289464	85	-99	-99	-99	-99
29512.7404622696	3018.411224	140.651385708239	0.868492601445571	326.81298751606	85	-99	-99	-99	-99
30080.8947652284	3071.751224	142.663167016452	0.863682027497738	326.599749634736	85	-99	-99	-99	-99
30677.9366837361	3125.091224	149.85497323566	0.858891863649988	326.38637243882	85	-99	-99	-99	-99
31239.7148275132	3155.571224	140.65110051687	0.856163767762686	326.264379957991	85	-99	-99	-99	-99
31836.2840559021	3208.911224	149.737269880535	0.851405555601887	326.050783286396	85	-99	-99	-99	-99
32422.7828677245	3239.391224	146.822572913097	0.848695675519291	325.928665197267	85	-99	-99	-99	-99
33044.6181583149	3285.111224	155.878447641028	0.844643232502471	325.745402224916	85	-99	-99	-99	-99
33670.8122873643	3338.451224	157.115451749649	0.839934109342764	325.531465027533	85	-99	-99	-99	-99
34264.4684644586	3368.931224	148.609531785957	0.837252214956656	325.409152051033	85	-99	-99	-99	-99
34890.6655186702	3422.271224	157.116180401483	0.832574667627195	325.194993643617	85	-99	-99	-99	-99
35545.2785336256	3452.751224	163.830558380651	0.82991077454833	325.0725540652	85	-99	-99	-99	-99
36183.1836634533	3498.471224	159.885363827592	0.825927166069988	324.888808178848	85	-99	-99	-99	-99
36832.9741850457	3559.431224	163.160933504187	0.820638461411828	324.643651887839	85	-99	-99	-99	-99
37442.7529546639	3605.151224	152.872591206927	0.816688964514798	324.459663108486	85	-99	-99	-99	-99
38056.7389325175	3658.491224	154.074644369382	0.812099614077709	324.244877579851	85	-99	-99	-99	-99
38673.1945680822	3696.591224	154.407974336536	0.808833604806618	324.091372195053	85	-99	-99	-99	-99
39305.2972409195	3749.931224	158.587307304219	0.804278083528124	323.876342426507	85	-99	-99	-99	-99
39933.6793369971	3803.271224	157.660476632335	0.799742215934028	323.661169799332	85	-99	-99	-99	-99
40540.2748790268	3841.371224	151.947721603979	0.796514310791528	323.507387443274	85	-99	-99	-99	-99
41151.3312456385	3894.711224	153.34500292982	0.792011998436667	323.291969251747	85	-99	-99	-99	-99
41764.108952819	3940.431224	153.620237277153	0.788168391620569	323.107210776968	85	-99	-99	-99	-99
42372.0699872369	3993.771224	152.574116204715	0.783702236283126	322.891525606313	85	-99	-99	-99	-99
43010.3248539937	4047.111224	160.119960993848	0.779255466541257	322.675696265883	85	-99	-99	-99	-99
43617.775660943	4092.831224	152.292235780294	0.775459334722063	322.490584721589	85	-99	-99	-99	-99
44246.3105032118	4138.551224	157.548874628221	0.771677365793202	322.305366861106	85	-99	-99	-99	-99
44878.7385879513	4184.271224	158.519636158905	0.76790952310616	322.120042501041	85	-99	-99	-99	-99
